	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS	AREA	PERIMETER	WCOLGEN02_	WCOLGEN021	DPTO	NOMBRE_DPT	NOMBRE_MPI	NOMBRE_CAB	CLASEMUN	ZONA	OF_REG	REG_ZONAS	HECTARES	CENTROID_LNG	CENTROID_LAT
24	CO04	Atlántico	08	08	083	Sabanagrande	100.0	634	08634	31852967.2041	23797.6371019	28	477	08	ATLANTICO	SABANAGRANDE	SABANAGRANDE	CM	ZONA01	DABAR	DABARZONA01	3185.297	924261.6680826434	1684784.1370750254
25	CO04	Atlántico	08	08	083	Polonuevo	100.0	558	08558	72804342.906	36022.6501142	29	474	08	ATLANTICO	POLONUEVO	POLONUEVO	CM	ZONA01	DABAR	DABARZONA01	7280.434	915172.3387549779	1681602.860234839
26	CO04	Atlántico	08	08	082	Piojo	100.0	549	08549	243768682.88	68138.657521	30	473	08	ATLANTICO	PIOJO	PIOJO	CM	ZONA01	DABAR	DABARZONA01	24376.868	882354.3705063782	1679073.0680938778
27	CO04	Atlántico	08	08	082	Usiacurí	92.0	849	08849	93928871.8492	40001.8583042	31	483	08	ATLANTICO	USIACURI	USIACURI	CM	ZONA01	DABAR	DABARZONA01	9392.887	899916.3726158779	1679345.0815363028
28	CO35	Bolívar	13	13	107	Santa Catalina	100.0	673	13673	91863669.6534	50020.9405963	32	522	13	BOLIVAR	SANTA CATALINA	SANTA CATALINA	CM	ZONA03	DABAR	DABARZONA03	9186.367	868591.7121309773	1673808.906673468
29	CO04	Atlántico	08	08	079	Santo Tomas	100.0	685	08685	61150858.3837	35010.5572494	33	480	08	ATLANTICO	SANTO TOMAS	SANTO TOMAS	CM	ZONA01	DABAR	DABARZONA01	6115.086	921234.7744655235	1678357.408554627
30	CO04	Atlántico	08	08	084	Palmar de Varela	100.0	520	08520	56256078.7535	35011.1724915	34	987	08	ATLANTICO	PALMAR DE VARELA	PALMAR DE VARELA	CM	ZONA01	DABAR	DABARZONA01	5625.608	923740.9638072285	1673544.9880656141
31	CO38	Magdalena	47	47	320	El Retén	92.0	268	47268	210799039.059	59901.0903881	35	1060	47	MAGDALENA	EL RETEN	EL RETEN	CM	ZONA07	DABAR	DABARZONA07	21079.904	968792.9606787759	1671598.4574328235
32	CO38	Magdalena	47	47	329	Remolino	100.0	605	47605	547723233.561	97588.5827596	36	498	47	MAGDALENA	REMOLINO	REMOLINO	CM	ZONA07	DABAR	DABARZONA07	54772.323	942692.3481724495	1667460.8624550663
33	CO04	Atlántico	08	08	078	Sabanalarga	100.0	638	08638	437436185.15	86957.1093006	37	478	08	ATLANTICO	SABANALARGA	SABANALARGA	CM	ZONA01	DABAR	DABARZONA01	43743.619	904106.8670504992	1665626.0762931234
