MIGCO4_CODE	MIGCO4_NAME	MIGCO4_DEPT
104	Santa Rosa del Sur	BOLÍVAR
105	Talaiga Nuevo	BOLÍVAR
105	Circuco	BOLÍVAR
106	Turbaco	BOLÍVAR
106	Turbana	BOLÍVAR
107	Santa Catalina	BOLÍVAR
107	Clemencia	BOLÍVAR
107	Santa Rosa	BOLÍVAR
108	San Estanislao	BOLÍVAR
108	Villanueva	BOLÍVAR
109	Mahates	BOLÍVAR
109	Arroyohondo	BOLÍVAR
109	Soplaviento	BOLÍVAR
109	San Cristóbal	BOLÍVAR
110	Córdoba	BOLÍVAR
110	Zambrano	BOLÍVAR
111	Barranco de Loba	BOLÍVAR
111	Altos de Rosario	BOLÍVAR
111	Margarita	BOLÍVAR
111	San Fernando	BOLÍVAR
112	Tunja	BOYACÁ
113	Chiquinquirá	BOYACÁ
114	Duitama	BOYACÁ
115	Moniquirá	BOYACÁ
116	Paipa	BOYACÁ
117	Puerto Boyacá	BOYACÁ
118	Sogamoso	BOYACÁ
119	Chiscas	BOYACÁ
119	Cubará	BOYACÁ
119	Guicán	BOYACÁ
120	El Cocuy	BOYACÁ
120	El Espino	BOYACÁ
120	Guacamayas	BOYACÁ
120	Panqueba	BOYACÁ
120	San Mateo	BOYACÁ
121	Covarachía	BOYACÁ
121	Soatá	BOYACÁ
121	Tipacoque	BOYACÁ
122	Boavita	BOYACÁ
122	La Uvita	BOYACÁ
122	Jericó	BOYACÁ
123	Chita	BOYACÁ
123	Socota	BOYACÁ
124	Sativanorte	BOYACÁ
124	Sativasur	BOYACÁ
124	Susacón	BOYACÁ
124	Belén	BOYACÁ
124	Tutaza	BOYACÁ
125	Paz De Río	BOYACÁ
125	Socha	BOYACÁ
125	Tasco	BOYACÁ
126	Aquitania	BOYACÁ
126	Labranzagrande	BOYACÁ
126	Pajarito	BOYACÁ
126	Paya	BOYACÁ
126	Pisba	BOYACÁ
127	Busbanza	BOYACÁ
127	Gámeza	BOYACÁ
127	Mongua	BOYACÁ
127	Monguí	BOYACÁ
127	Tópaga	BOYACÁ
127	Corrales	BOYACÁ
128	Beteitiva	BOYACÁ
128	Cerinza	BOYACÁ
128	Floresta	BOYACÁ
128	Santa Rosa de Viterbo	BOYACÁ
129	Cuitiva	BOYACÁ
129	Firavitoba	BOYACÁ
129	Iza	BOYACÁ
129	Nobsa	BOYACÁ
129	Tibasosa	BOYACÁ
130	Pesca	BOYACÁ
130	Tota	BOYACÁ
130	Zetaquirá	BOYACÁ
131	Cómbita	BOYACÁ
131	Oicatá	BOYACÁ
131	Sotaquirá	BOYACÁ
132	Chivatá	BOYACÁ
132	Toca	BOYACÁ
132	Tuta	BOYACÁ
133	Siachoque	BOYACÁ
133	Soracá	BOYACÁ
133	Ciénega	BOYACÁ
133	Rondón	BOYACÁ
133	Viracachá	BOYACÁ
134	Berbeo	BOYACÁ
134	Campohermoso	BOYACÁ
134	Miraflores	BOYACÁ
134	Páez	BOYACÁ
134	San Eduardo	BOYACÁ
135	Chivor	BOYACÁ
135	Guayatá	BOYACÁ
135	San Luis de Gaceno	BOYACÁ
135	Santa María	BOYACÁ
136	Almeida	BOYACÁ
136	Garagoa	BOYACÁ
136	Macanal	BOYACÁ
137	Guateque	BOYACÁ
137	Somondoco	BOYACÁ
137	Sutatenza	BOYACÁ
137	Tenza	BOYACÁ
138	Chinavita	BOYACÁ
138	La Capilla	BOYACÁ
138	Pachavita	BOYACÁ
138	Umbita	BOYACÁ
139	Boyacá	BOYACÁ
139	Nuevo Colón	BOYACÁ
139	Jenesano	BOYACÁ
139	Tibaná	BOYACÁ
139	Ramiriquí	BOYACÁ
140	Ventaquemada	BOYACÁ
140	Turmequé	BOYACÁ
141	Cucaita	BOYACÁ
141	Chiquiza	BOYACÁ
141	Motavita	BOYACÁ
141	Samacá	BOYACÁ
141	Sora	BOYACÁ
141	Ráquira	BOYACÁ
142	Arcabuco	BOYACÁ
142	Gachantivá	BOYACÁ
142	Villa de Leyva	BOYACÁ
142	Sáchica	BOYACÁ
142	Santa Sofía	BOYACÁ
143	Chitaraque	BOYACÁ
143	San José De Pare	BOYACÁ
143	Santana	BOYACÁ
143	Togüí	BOYACÁ
144	Saboyá	BOYACÁ
144	Sacamá	BOYACÁ
144	San Miguel de Sema	BOYACÁ
144	Sutamarchán	BOYACÁ
144	Tinjacá	BOYACÁ
145	Buenavista	BOYACÁ
145	Caldas	BOYACÁ
145	Coper	BOYACÁ
145	Maripí	BOYACÁ
145	Muzo	BOYACÁ
146	Briceño	BOYACÁ
146	Pauna	BOYACÁ
146	San Pablo de Borbur	BOYACÁ
146	Tununguá	BOYACÁ
147	La Victoria	BOYACÁ
147	Otanche	BOYACÁ
147	Quípama	BOYACÁ
148	Manizales	CALDAS
149	Aguadas	CALDAS
150	Anserma	CALDAS
151	Chinchiná	CALDAS
152	La Dorada	CALDAS
153	Manzanares	CALDAS
154	Neira	CALDAS
155	Palestina	CALDAS
156	Pensilvania	CALDAS
157	Riosucio	CALDAS
158	Marulanda	CALDAS
158	Salamina	CALDAS
159	Samaná	CALDAS
159	Norcasia	CALDAS
160	Marmato	CALDAS
160	Supía	CALDAS
161	Villamaría	CALDAS
162	Marquetalia	CALDAS
162	Victoria	CALDAS
163	La Merced	CALDAS
163	Pácora	CALDAS
164	Filadelfia	CALDAS
164	Aranzazu	CALDAS
165	Belalcázar	CALDAS
165	Risaralda	CALDAS
165	San José	CALDAS
165	Viterbo	CALDAS
166	Florencia	CAQUETÁ
167	Cartagena del Chairá	CAQUETÁ
167	El Doncello	CAQUETÁ
168	Puerto Rico	CAQUETÁ
169	San Vicente del Caguán	CAQUETÁ
170	Valparaiso	CAQUETÁ
170	Solita	CAQUETÁ
171	Currillo	CAQUETÁ
171	San José de la Fragua	CAQUETÁ
172	Albania	CAQUETÁ
172	Belén de los Andaquies	CAQUETÁ
172	Morelia	CAQUETÁ
173	Solano	CAQUETÁ
173	Milán	CAQUETÁ
174	El Paujíl	CAQUETÁ
174	Getucha	CAQUETÁ
174	La Montañita	CAQUETÁ
175	Popayán	CAUCA
176	Bolívar	CAUCA
176	Sucre	CAUCA
177	Cajibío	CAUCA
178	Caldono	CAUCA
179	Padilla	CAUCA
179	Caloto	CAUCA
180	El Tambo	CAUCA
181	Guapi	CAUCA
182	Almaguer	CAUCA
182	La Vega	CAUCA
183	Morales	CAUCA
184	Páez	CAUCA
185	Patía	CAUCA
186	Piendamó	CAUCA
187	Puerto Tejada	CAUCA
188	Santander de Quilichao	CAUCA
188	Villa Rica	CAUCA
189	Silvia	CAUCA
190	Suárez	CAUCA
191	Timbío	CAUCA
192	Timbiquí	CAUCA
193	López	CAUCA
193	Buenos Aires	CAUCA
194	Corinto	CAUCA
194	Miranda	CAUCA
195	Toribío	CAUCA
195	Jambaló	CAUCA
196	Puracé	CAUCA
196	Inzá	CAUCA
196	Totoró	CAUCA
197	La Sierra	CAUCA
197	Rosas	CAUCA
197	Sotará	CAUCA
198	Argelia	CAUCA
198	Balboa	CAUCA
199	Florencia	CAUCA
199	Mercaderes	CAUCA
200	San Sebastián	CAUCA
200	Santa Rosa	CAUCA
200	Piamonte	CAUCA
201	Valledupar	CESAR
201	Pueblo Bello	CESAR
202	Aguachica	CESAR
203	Agustín Codazzi	CESAR
