	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
94	CO10	Cesar	20	20	205	Chimichagua	100.0	175	20175
95	CO27	Sucre	70	70	454	Los Palmitos	100.0	418	70418
96	CO27	Sucre	70	70	454	Morroa	100.0	473	70473
97	CO38	Magdalena	47	47	332	San Sebastián de Buenavista	97.0	692	47692
98	CO38	Magdalena	47	47	327	San Zenón	93.0	703	47703
99	CO35	Bolívar	13	13	094	Magangué	92.0	430	13430
100	CO27	Sucre	70	70	455	Buenavista	100.0	110	70110
101	CO12	Córdoba	23	23	233	San Antero	100.0	672	23672
102	CO12	Córdoba	23	23	227	San Bernardo del Viento	100.0	675	23675
103	CO27	Sucre	70	70	442	Sincelejo	100.0	001	70001
104	CO35	Bolívar	13	13	105	Talaiga Nuevo	95.0	780	13780
105	CO27	Sucre	70	70	450	San Luis de Sincé	78.0	742	70742
106	CO27	Sucre	70	70	452	Palmito	100.0	523	70523
107	CO27	Sucre	70	70	454	San Juan de Betulia	100.0	702	70702
108	CO10	Cesar	20	20	207	Curumaní	92.0	228	20228
109	CO38	Magdalena	47	47	332	Guamal	100.0	318	47318
110	CO27	Sucre	70	70	443	Corozal	100.0	215	70215
111	CO38	Magdalena	47	47	323	El Banco	100.0	245	47245
112	CO12	Córdoba	23	23	232	Moñitos	100.0	500	23500
113	CO12	Córdoba	23	23	221	Lorica	100.0	417	23417
114	CO12	Córdoba	23	23	233	Purísima	92.0	586	23586
115	CO12	Córdoba	23	23	234	Momil	100.0	464	23464
116	CO35	Bolívar	13	13	096	Mompós	90.0	468	13468
117	CO35	Bolívar	13	13	105	Circuco	91.0	188	13188
118	CO21	Norte Santander	54	54	385	El Carmen	100.0	245	54245
119	CO12	Córdoba	23	23	226	San Andrés de Sotavento	97.0	670	23670
120	CO21	Norte Santander	54	54	385	Convención	94.0	206	54206
121	CO35	Bolívar	13	13	111	San Fernando	100.0	650	13650
122	CO27	Sucre	70	70	446	Sampués	91.0	670	70670
123	CO12	Córdoba	23	23	234	Chimá	88.0	168	23168
124	CO35	Bolívar	13	13	111	Margarita	100.0	440	13440
125	CO27	Sucre	70	70	447	Galeras	100.0	235	70235
126	CO12	Córdoba	23	23	221	Cotorra	100.0	300	23300
127	CO12	Córdoba	23	23	219	Chinú	88.0	182	23182
128	CO21	Norte Santander	54	54	384	Teorama	100.0	800	54800
129	CO12	Córdoba	23	23	232	Puerto Escondido	100.0	574	23574
130	CO21	Norte Santander	54	54	382	Tibú	85.0	810	54810
131	CO27	Sucre	70	70	447	San Benito Abad	100.0	678	70678
132	CO12	Córdoba	23	23	228	San Pelayo	100.0	686	23686
133	CO10	Cesar	20	20	212	Tamalameque	100.0	787	20787
